0.4856	 1.3493	 2.0081
0.9014	 -0.3645	 2.7386
1.2696	 -0.1284	 2.3464
1.3692	 -1.7459	 1.8799
0.9347	 2.1927	 2.0192
1.0080	 1.5771	 2.0300
1.4787	 1.6967	 2.3427
1.0333	 3.0036	 3.0051
0.8841	 0.8811	 3.0507
0.6398	 2.3350	 1.5843
0.7957	 1.6505	 3.0778
0.7914	 -1.3697	 2.1113
1.4683	 -0.1313	 3.1876
1.2889	 -1.3126	 2.4631
0.7177	 1.1203	 2.2257
1.0474	 0.4256	 3.1606
0.5950	 -1.0789	 2.5287
1.3581	 1.2486	 3.3761
0.8019	 1.5396	 3.7066
1.1226	 2.3750	 2.4899
0.9057	 -0.8251	 2.5401
0.4029	 3.5314	 2.7105
1.1169	 1.1176	 1.9084
1.2957	 2.2369	 2.0026
0.2050	 3.4706	 3.2055
1.0887	 1.7275	 2.4905
1.0147	 1.7417	 1.5236
1.3145	 1.3946	 3.2400
0.9949	 2.8826	 2.0145
1.1307	 1.0383	 1.8399
1.1566	 4.4331	 3.7806
1.1794	 0.9172	 2.3756
0.9389	 0.9811	 1.9683
0.4314	 0.0661	 3.1256
0.9404	 2.9829	 1.4849
0.1847	 1.8427	 2.5101
0.9361	 2.5359	 3.9645
0.9925	 2.0820	 2.7851
1.4247	 1.6977	 2.1543
0.7621	 0.0701	 1.7574
1.1608	 -1.1523	 1.4829
0.8519	 -0.0953	 2.2162
1.1970	 1.7422	 3.1365
0.8659	 1.0025	 3.1737
0.5868	 4.1480	 1.3850
1.0946	 3.8314	 2.0590
0.1988	 3.6288	 3.2841
1.3571	 0.2155	 2.3770
1.2263	 -3.1318	 2.3658
0.1946	 0.7158	 3.1085
0.8591	 1.4880	 2.2218
0.9161	 3.2749	 3.9372
0.9650	 2.5178	 2.0732
0.4665	 0.3085	 1.7609
0.8850	 0.3415	 1.6354
1.3001	 0.8027	 2.6771
0.9563	 1.6678	 2.1722
1.1055	 0.6537	 1.1534
1.0495	 4.8998	 2.7395
1.6101	 2.0857	 2.9801
0.5427	 2.0131	 2.3338
0.9934	 1.4552	 2.3537
0.8056	 0.2981	 2.3056
1.0110	 5.1814	 2.0062
1.3220	 5.2262	 2.8104
0.8002	 4.3338	 3.7812
0.6743	 2.6773	 1.2402
1.9002	 2.1337	 3.3047
1.1665	 1.7780	 2.4661
1.2367	 0.2886	 1.8377
0.9967	 3.0987	 1.9254
0.9356	 -0.7513	 3.1480
1.2277	 3.3141	 2.2238
0.7852	 3.5552	 1.7689
1.0696	 6.1997	 2.3003
1.0868	 2.2195	 1.5442
1.4622	 4.0162	 3.0730
0.8995	 1.3210	 3.1513
1.1932	 3.3364	 2.3084
1.1292	 0.5288	 2.4027
0.3328	 0.7925	 2.2426
0.7764	 0.6874	 3.0507
1.8169	 4.8396	 2.1524
0.6391	 1.7997	 2.6000
1.2752	 4.7515	 0.3931
0.9183	 3.1883	 2.1382
0.6166	 0.1981	 3.1081
1.5960	 1.2109	 0.8419
